eclass_code,description
DWA,"Irrigation Fluid"
DWT,"Distention Fluid"
DWW,"Sterile Water for Irrigation"
FAF,"Feeding tube securing devices"
FAG,"Enteral tube cleaning brush"
FAH,"Enteral feeding set valves"
FAI,"Enteral nutrition weighing chambers"
FAK,"Gastrostomy tubes for general use�- Ryles"
FAL,"Percutaneous Endoscopic Gastrostomy tubes"
FAM,"Jejunostomy tubes"
FAN,"Gastric access buttons"
FAO,"Gastrostomy or jejunostomy tube holders"
FAP,"Colon decompression kits"
FAQ,"Jejunostomy catheter & needle sets"
FAR,"Gastrostomy feeding tube kits"
FAS,"Nasogastric tubes"
FAT,"Nasojejunal tubes"
FAU,"Gastric decompression tubes"
FAW,"Nasogastric filters"
FAX,"Breast pumps or its accessories"
FAY,"Tablet crushers or accessories"
FBV,Arthroscopy
FCG,"Light Handle Covers - Lite Gloves"
FCH,"Pre-operative hair removal Instruments"
FCL,Scalpels
FCM,"Surgical marking instruments"
FCN,"Diathermy - Pencils Leads & Switched"
FCP,"Neurosurgical or spinal instrument sets�& consumables"
FCR,"Surgical retractors & related products"
FCT,"Stress Incontinence Surgical Device"
FDD,"Facemask anaesthetic"
FDG,"Breathing filters"
FDH,"Tubing corrugated 22mm id"
FDI,"Catheter Mount"
FDJ,"Breathing system basic"
FDK,"Nebulisation & humidification"
FDL,"Water sterile for humidification/nebulisation"
FDM,"Nebuliser chamber"
FDN,"Medical gas cylinders or related devices"
FDO,"Oxygen delivery connectors or adaptors"
FDP,"Flow sensors or regulators or components"
FDQ,"Medical oxygen masks or components"
FDR,"Nasal cannulae"
FDS,Resuscitators
FDT,"Medical incubators"
FDU,"Medical oxygen tubing or connectors"
FDW,"Oxygen insufflators or its accessories"
FDX,"Venturi valve"
FDY,"Laryngeal masks"
FEA,"Pharyngeal airways"
FEB,"Esophageal tubes"
FEC,"Endotracheal tubes"
FED,"Tracheostomy tubes"
FEE,"Tracheostomy accessories"
FEF,"Endobronchial tubes"
FEG,"Endotracheal or tracheostomy tube repair kits"
FEH,"Respiratory aspirator products or accessories"
FEJ,"Artificial airway accessories"
FEK,"Endotracheal or tracheotomy sets"
FEL,"Respiratory manometer kits"
FEM,"Nasopharyngeal tubes"
FEO,"Airway pressure gages"
FER,"Thoracentesis sets or trays"
FES,"Thoracentesis catheters or catheterization kits or accessories"
FET,"Pleural cavity drainage unit or accessories"
FEW,"Manual resuscitators"
FEX,"Pneumatic resuscitators"
FEY,"Resuscitation masks or accessories"
FFA,Ventilators
FFB,"Ventilators IPPB Intermittent positive pressure breathing"
FFC,"Non invasive continuous positive air pressure machines"
FFD,"Non invasive bi level machines"
FFH,"Ventilator or breathing circuits"
FFI,"Breathing circuit bags"
FFJ,"Hyperinflation products"
FFK,"Positive end expiratory pressure PEEP valves"
FFL,"Continuous positive airway pressure CPAP masks or straps"
FFM,"Circuit connectors or adapters or valves"
FFN,"Ventilator testing supplies"
FFO,"Ventilator thermometers"
FFP,"Ventilator water traps"
FFQ,"Ventilator gas sampling ports or lines"
FFR,"Ventilator heat or moisture exchangers or filters"
FFT,"Ventilator humidification products"
FFU,"Ventilator weaning products"
FFV,"Breathing apparatus accessories or supplies"
FFW,"Ventilator circuit kits"
FFX,"Bi level positive airway pressure Bi PAP accessories"
FJA,"Acute care monitoring units & related products"
FJB,"Pressure Monitors"
FJC,"Central venous pressure CVP manometer"
FJD,"Electrocardiography EKG units & accessories"
FJE,"Electrocardiography EKG Electrodes"
FJF,"Sphygmomanometers & Manual Blood Pressure Monitors"
FJH,"Blood pressure Cuffs"
