gmn,model_name,device_type,market_availability_date,lifecycle_status,last_status_update,risk_class_class_name
UK-123-16397,"Bone Cement:Model-H","Surgical Tools",2023-11-11,Discontinued,2024-01-05,"Class IIa"
UK-123-17780,"Pulse Irrigation System:Model-N",Monitoring,2022-05-14,Active,2023-11-09,"Class IIa"
UK-123-18946,"Dental Composite Resin:Model-F",Monitoring,2024-02-03,Active,2023-08-15,"Class I"
UK-123-25933,"Dental Intraoral Camera:Model-G",Imaging,2022-11-03,Discontinued,2023-06-28,"Class I"
UK-123-40027,"Hydrotherapy Whirlpool:Model-F",Imaging,2022-12-26,Active,2023-05-03,"Class I"
UK-123-45861,"Dental Amalgamator:Model-J",Monitoring,2022-05-01,Active,2024-02-23,"Class IIb"
UK-123-51958,Colonoscope:Model-W,Imaging,2022-10-15,Discontinued,2023-06-12,"Class I"
UK-123-57597,"Surgical Laser:Model-L","Surgical Tools",2024-01-28,Active,2023-05-04,"Class I"
UK-123-71809,"Dental Air Compressor:Model-M","Surgical Tools",2023-12-13,Active,2023-11-25,"Class IIa"
UK-123-76924,"Mammography System:Model-K",Imaging,2023-04-27,Active,2023-05-17,"Class IIa"
UK-123-84431,"Cautery Pen:Model-W",Imaging,2022-04-26,Discontinued,2023-11-25,"Class I"
UK-123-87112,"Laparoscopic Grasper:Model-V",Emergency,2023-02-16,Active,2023-09-10,"Class IIa"
UK-123-88353,"Tympanostomy Tube:Model-U","Surgical Tools",2023-02-13,Active,2024-01-22,"Class III"
UK-123-93381,"Dental Curing Light:Model-V","Drug Delivery",2024-03-03,Active,2024-04-10,"Class IIa"
UK-123-98309,"Pacemaker Lead:Model-F",Emergency,2023-01-15,Discontinued,2023-05-04,"Class IIa"
UK-456-17105,"Osteotomy Saw:Model-S",Monitoring,2023-01-09,Discontinued,2023-10-21,"Class IIa"
UK-456-23863,"Hydrogel Dressing:Model-I","Surgical Tools",2023-12-26,Discontinued,2024-01-21,"Class I"
UK-456-27007,"Infusion Pump:Model-Q",Anesthesia,2022-05-19,Active,2023-11-19,"Class IIb"
